,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
75,27,4,213921,12,9,5,8,4,5,2,0,0,40,26,0
76,40,4,32214,8,12,3,1,1,5,2,0,0,40,39,0
77,67,0,212759,1,6,3,0,1,5,2,0,0,2,39,0
78,18,4,309634,2,7,5,8,4,5,1,0,0,22,39,0
79,31,2,125927,6,4,3,5,1,5,2,0,0,40,39,0
80,18,4,446839,12,9,5,12,2,5,2,0,0,30,39,0
81,52,4,276515,10,13,3,8,1,5,2,0,0,40,5,0
82,46,4,51618,12,9,3,8,6,5,1,0,0,40,39,0
83,59,4,159937,12,9,3,12,1,5,2,0,0,48,39,0
84,44,4,343591,12,9,1,3,2,5,1,14344,0,40,39,1
85,53,4,346253,12,9,1,12,4,5,1,0,0,35,39,0
86,49,2,268234,12,9,3,11,1,5,2,0,0,40,39,1
87,33,4,202051,13,14,3,10,1,5,2,0,0,50,39,0
88,30,4,54334,7,5,5,12,2,5,2,0,0,40,39,0
89,43,1,410867,11,16,5,10,2,5,1,0,0,50,39,1
90,57,4,249977,9,11,3,10,1,5,2,0,0,40,39,0
91,37,4,286730,16,10,1,3,5,5,1,0,0,40,39,0
92,28,4,212563,16,10,1,7,5,3,1,0,0,25,39,0
93,30,4,117747,12,9,3,12,6,2,1,0,1573,35,0,0
94,34,2,226296,10,13,3,11,1,5,2,0,0,40,39,1
95,29,2,115585,16,10,5,6,2,5,2,0,0,50,39,0
96,48,6,191277,11,16,3,10,1,5,2,0,1902,60,39,1
97,37,4,202683,16,10,3,12,1,5,2,0,0,48,39,1
98,48,4,171095,8,12,1,4,5,5,1,0,0,40,9,0
99,32,1,249409,12,9,5,8,4,3,2,0,0,40,39,0
100,76,4,124191,13,14,3,4,1,5,2,0,0,40,39,1
101,44,4,198282,10,13,3,4,1,5,2,15024,0,60,39,1
102,47,6,149116,13,14,5,10,2,5,1,0,0,50,39,0
103,20,4,188300,16,10,5,13,4,5,1,0,0,40,39,0
104,29,4,103432,12,9,5,3,2,5,2,0,0,40,39,0
105,32,5,317660,12,9,3,3,1,5,2,7688,0,40,39,1
106,17,0,304873,1,6,5,0,4,5,1,34095,0,32,39,0
107,30,4,194901,2,7,5,6,4,5,2,0,0,40,39,0
108,31,2,189265,12,9,5,1,2,5,1,0,0,40,39,0
109,42,4,124692,12,9,3,6,1,5,2,0,0,40,39,0
110,24,4,432376,10,13,5,12,3,5,2,0,0,40,39,0
111,38,4,65324,15,15,3,10,1,5,2,0,0,40,39,1
112,56,6,335605,12,9,3,8,1,5,2,0,1887,50,2,1
113,28,4,377869,16,10,3,12,6,5,1,4064,0,25,39,0
114,36,4,102864,12,9,5,7,4,5,1,0,0,40,39,0
115,53,4,95647,7,5,3,6,1,5,2,0,0,50,39,0
116,56,5,303090,16,10,3,12,1,5,2,0,0,50,39,0
117,49,2,197371,9,11,3,3,1,3,2,0,0,40,39,1
118,55,4,247552,16,10,3,12,1,5,2,0,0,56,39,0
119,22,4,102632,12,9,5,3,2,5,2,0,0,41,39,0
120,21,4,199915,16,10,5,8,4,5,1,0,0,40,39,0
121,40,4,118853,10,13,3,4,1,5,2,0,0,60,39,0
122,30,4,77143,10,13,5,4,4,3,2,0,0,40,11,0
123,29,7,267989,10,13,3,10,1,5,2,0,0,50,39,1
124,19,4,301606,16,10,5,8,4,3,2,0,0,35,39,0
125,47,4,287828,10,13,3,4,6,5,1,0,0,40,39,1
126,20,4,111697,16,10,5,1,4,5,1,0,1719,28,39,0
127,31,4,114937,8,12,3,1,1,5,2,0,0,40,39,1
128,35,0,129305,12,9,3,0,1,5,2,0,0,40,39,0
129,39,4,365739,16,10,1,3,2,5,2,0,0,40,39,0
130,28,4,69621,8,12,5,12,2,5,1,0,0,60,39,0
131,24,4,43323,12,9,5,8,2,5,1,0,1762,40,39,0
132,38,6,120985,12,9,3,3,1,5,2,4386,0,35,39,0
133,37,4,254202,10,13,3,12,1,5,2,0,0,50,39,0
134,46,4,146195,8,12,1,13,2,3,1,0,0,36,39,0
135,38,1,125933,13,14,3,10,1,5,2,0,0,40,20,1
136,43,6,56920,12,9,3,3,1,5,2,0,0,60,39,0
137,27,4,163127,9,11,3,1,6,5,1,0,0,35,39,0
138,20,4,34310,16,10,5,12,4,5,2,0,0,20,39,0
139,49,4,81973,16,10,3,3,1,2,2,0,0,40,39,1
140,61,5,66614,12,9,3,3,1,5,2,0,0,40,39,0
141,27,4,232782,16,10,5,12,4,5,1,0,0,40,39,0
142,19,4,316868,16,10,5,8,4,5,2,0,0,30,26,0
143,45,4,196584,9,11,5,10,2,5,1,0,1564,40,39,1
144,70,4,105376,16,10,5,13,3,5,2,0,0,40,39,0
145,31,4,185814,12,9,5,14,5,3,1,0,0,30,39,0
146,22,4,175374,16,10,3,8,1,5,2,0,0,24,39,0
147,36,4,108293,12,9,7,8,5,5,1,0,0,24,39,0
148,64,4,181232,2,7,3,3,1,5,2,0,2179,40,39,0
149,43,0,174662,16,10,1,0,2,5,1,0,0,40,39,0
150,47,2,186009,16,10,1,1,5,5,1,0,0,38,26,0
151,34,4,198183,12,9,5,1,2,5,1,0,0,40,39,0
152,33,4,163003,10,13,5,4,3,2,1,0,0,40,30,0
153,21,4,296158,12,9,5,3,4,5,2,0,0,35,39,0
154,52,0,252903,12,9,1,0,2,5,2,0,0,45,39,1
155,48,4,187715,12,9,3,3,1,5,2,0,0,46,39,0
156,23,4,214542,10,13,5,6,2,5,2,0,0,40,39,0
157,71,6,494223,16,10,6,12,5,3,2,0,1816,2,39,0
158,29,4,191535,12,9,1,3,2,5,2,0,0,60,39,0
159,42,4,228456,10,13,6,8,3,3,2,0,0,50,39,0
160,68,0,38317,4,2,1,0,2,5,1,0,0,20,39,0
161,25,4,252752,12,9,5,8,5,5,1,0,0,40,39,0
162,44,5,78374,13,14,1,4,5,2,1,0,0,40,39,0
163,28,4,88419,12,9,5,4,2,2,1,0,0,40,9,0
164,45,6,201080,13,14,3,12,1,5,2,0,0,40,39,1
165,36,4,207157,16,10,1,8,5,5,1,0,0,40,26,0
166,39,1,235485,8,12,5,4,2,5,2,0,0,42,39,0
167,46,7,102628,13,14,7,11,5,5,2,0,0,40,39,0
168,18,4,25828,2,7,5,6,4,5,2,0,0,16,39,0
169,66,2,54826,9,11,7,10,2,5,1,0,0,20,39,0
170,27,4,124953,12,9,5,8,2,5,2,0,1980,40,39,0
171,28,7,175325,12,9,3,11,1,5,2,0,0,40,39,0
172,51,4,96062,16,10,3,12,1,5,2,0,1977,40,39,1
173,27,4,428030,10,13,5,3,2,5,2,0,0,50,39,0
174,28,7,149624,10,13,3,10,1,5,2,0,0,40,39,1
175,27,4,253814,12,9,4,12,5,5,1,0,0,25,39,0
176,21,4,312956,12,9,5,3,4,3,2,0,0,40,39,0
177,34,4,483777,12,9,5,6,2,3,2,0,0,40,39,0
178,18,4,183930,12,9,5,8,4,5,2,0,0,12,39,0
179,33,4,37274,10,13,3,10,1,5,2,0,0,65,39,0
180,44,2,181344,16,10,3,4,1,3,2,0,0,38,39,1
181,43,4,114580,16,10,1,1,2,5,1,0,0,40,39,0
182,30,4,633742,16,10,5,3,2,3,2,0,0,45,39,0
183,40,4,286370,6,4,3,7,1,5,2,0,0,40,26,1
184,37,1,29054,16,10,3,1,1,5,2,0,0,42,39,1
185,34,4,304030,12,9,3,1,1,3,2,0,0,40,39,0
186,41,6,143129,10,13,1,4,2,5,1,0,0,40,39,0
187,53,0,135105,10,13,1,0,2,5,1,0,0,50,39,0
188,31,4,99928,13,14,3,10,6,5,1,0,0,50,39,0
189,58,7,109567,11,16,3,10,1,5,2,0,0,1,39,1
190,38,4,155222,16,10,1,7,2,3,1,0,0,28,39,0
191,24,4,159567,16,10,3,7,1,5,2,0,0,40,39,0
192,41,2,523910,10,13,3,3,1,3,2,0,0,40,39,0
193,47,4,120939,16,10,3,13,1,5,2,0,0,45,39,0
194,41,1,130760,10,13,3,13,1,5,2,0,0,24,39,0
195,23,4,197387,5,3,3,14,3,5,2,0,0,40,26,0
196,36,4,99374,16,10,1,3,2,5,2,0,0,40,39,0
197,40,1,56795,13,14,5,4,2,5,1,14084,0,55,39,1
198,35,4,138992,13,14,3,10,3,5,2,7298,0,40,39,1
199,24,6,32921,12,9,5,12,2,5,2,0,0,40,39,0
200,26,4,397317,13,14,5,10,2,5,1,0,1876,40,39,0
201,19,0,170653,12,9,5,0,4,5,2,0,0,40,22,0
202,51,4,259323,10,13,3,4,1,5,2,0,0,50,39,1
203,42,2,254817,16,10,5,10,2,5,1,0,1340,40,39,0
204,37,7,48211,12,9,1,1,5,5,1,0,0,35,39,0
205,18,4,140164,2,7,5,12,4,5,1,0,0,40,39,0
206,36,4,128757,10,13,3,8,1,3,2,7298,0,36,39,1
207,35,4,36270,12,9,1,3,2,5,2,0,0,60,39,0
208,58,5,210563,12,9,3,12,6,5,1,15024,0,35,39,1
209,17,4,65368,2,7,5,12,4,5,1,0,0,12,39,0
210,44,2,160943,12,9,3,14,1,3,2,0,0,40,39,0
211,37,4,208358,12,9,3,3,1,5,2,0,0,40,39,1
212,35,4,153790,16,10,5,12,2,1,1,0,0,40,39,0
213,60,4,85815,12,9,3,3,1,2,2,0,0,40,39,0
214,54,5,125417,6,4,3,7,1,5,2,0,0,40,39,1
215,37,4,635913,10,13,5,4,2,3,2,0,0,60,39,1
216,50,4,313321,8,12,1,12,2,5,1,0,0,40,39,0
217,38,4,182609,10,13,3,12,1,5,2,0,0,50,31,0
218,45,4,109434,10,13,3,10,1,5,2,0,0,55,39,0
219,25,4,255004,1,6,5,3,2,5,2,0,0,40,39,0
220,31,4,197860,16,10,3,6,1,5,2,0,0,40,39,0
221,64,0,187656,4,2,1,0,2,5,2,0,0,40,39,0
222,90,4,51744,12,9,5,8,2,3,2,0,2206,40,39,0
223,54,4,176681,12,9,3,1,1,3,2,0,0,20,39,0
224,53,2,140359,14,1,5,7,2,5,1,0,0,35,39,0
225,18,4,243313,12,9,5,12,4,5,1,0,0,40,39,0
226,60,0,24215,1,6,1,0,2,1,1,0,0,10,39,0
227,66,6,167687,12,9,3,5,1,5,2,1409,0,50,39,0
228,75,4,314209,9,11,7,1,2,5,1,0,0,20,4,0
229,65,4,176796,12,9,1,1,2,5,1,0,0,40,39,0
230,35,4,538583,2,7,6,14,2,3,2,3674,0,40,39,0
231,41,4,130408,12,9,1,12,5,3,1,0,0,38,39,0
232,25,4,159732,16,10,5,1,2,5,2,0,0,42,39,0
233,33,4,110978,16,10,1,3,3,4,1,0,0,40,39,0
234,28,4,76714,15,15,5,10,2,5,2,0,0,55,39,1
235,59,7,268700,12,9,3,8,1,5,2,0,0,40,39,0
236,40,7,170525,16,10,5,1,2,5,1,0,0,38,39,0
237,41,4,180138,10,13,3,4,1,5,2,0,0,50,20,1
238,38,2,115076,13,14,3,4,1,5,2,0,0,70,39,1
239,23,4,115458,12,9,5,14,4,5,2,0,0,40,39,0
240,40,4,347890,10,13,3,10,1,5,2,0,0,40,39,1
241,41,6,196001,12,9,3,8,6,5,1,0,0,20,39,0
242,24,7,273905,8,12,3,11,1,5,2,0,0,50,39,0
243,20,0,119156,16,10,5,0,4,5,2,0,0,20,39,0
244,38,4,179488,16,10,1,3,2,5,2,0,1741,40,39,0
245,56,4,203580,12,9,3,1,1,5,2,0,0,35,0,0
246,58,4,236596,12,9,3,1,1,5,2,0,0,45,39,1
247,32,4,183916,12,9,5,8,2,5,1,0,0,34,39,0
248,40,4,207578,8,12,3,13,1,5,2,0,1977,60,39,1
249,45,4,153141,12,9,3,1,1,5,2,0,0,40,0,0
250,41,4,112763,15,15,3,10,6,5,1,0,0,40,39,1
251,42,4,390781,10,13,3,1,6,3,1,0,0,40,39,0
252,59,2,171328,1,6,7,8,5,3,1,0,0,30,39,0
253,19,2,27382,16,10,5,1,4,5,2,0,0,40,39,0
254,58,4,259014,16,10,5,14,2,5,2,0,0,20,39,0
255,42,6,303044,12,9,3,5,1,2,2,0,0,40,1,1
256,20,4,117789,12,9,5,8,4,5,1,0,0,40,39,0
257,32,4,172579,12,9,6,8,2,5,1,0,0,30,39,0
258,45,4,187666,9,11,7,4,2,5,1,0,0,45,39,0
259,50,4,204518,6,4,1,3,2,5,2,0,0,40,39,0
260,36,4,150042,10,13,1,10,4,5,1,0,0,40,39,0
261,45,4,98092,12,9,3,12,1,5,2,0,0,60,39,0
262,17,4,245918,2,7,5,8,4,5,2,0,0,12,39,0
263,59,4,146013,16,10,3,12,1,5,2,4064,0,40,39,0
264,26,4,378322,2,7,3,3,1,5,2,0,0,40,39,0
265,37,5,257295,16,10,3,4,1,2,2,0,0,75,37,1
266,19,0,218956,16,10,5,0,4,5,2,0,0,24,2,0
267,64,4,21174,12,9,3,4,1,5,2,0,0,40,39,1
268,33,4,185480,10,13,5,10,2,5,1,0,0,45,39,0
269,33,4,222205,12,9,3,3,6,5,1,0,0,40,39,1
270,61,4,69867,12,9,3,4,1,5,2,0,0,40,39,1
271,17,4,191260,7,5,5,8,4,5,2,1055,0,24,39,0
272,50,6,30653,13,14,3,5,1,5,2,2407,0,98,39,0
273,27,2,209109,13,14,5,10,4,5,2,0,0,35,39,0
274,30,4,70377,12,9,1,10,4,5,1,0,0,40,39,0
275,43,4,477983,12,9,3,6,1,3,2,0,0,40,39,0
276,44,4,170924,16,10,3,3,1,5,2,7298,0,40,39,1
277,35,4,190174,16,10,5,4,2,5,1,0,0,40,39,0
278,25,4,193787,16,10,5,13,4,5,1,0,0,40,39,0
279,24,4,279472,16,10,3,7,6,5,1,7298,0,48,39,1
280,22,4,34918,10,13,5,10,2,5,1,0,0,15,11,0
281,42,2,97688,16,10,3,3,1,5,2,5178,0,40,39,1
282,34,4,175413,8,12,1,12,5,3,1,0,0,45,39,0
283,60,4,173960,10,13,1,10,2,5,1,0,0,42,39,0
284,21,4,205759,12,9,5,6,4,5,2,0,0,40,39,0
285,57,1,425161,13,14,3,12,1,5,2,15024,0,40,39,1
286,41,4,220531,15,15,3,10,1,5,2,0,0,60,39,1
287,50,4,176609,16,10,1,8,2,5,2,0,0,45,39,0
288,25,4,371987,10,13,5,4,2,5,1,0,0,40,39,0
289,50,4,193884,6,4,3,3,1,5,2,0,0,40,7,0
290,36,4,200352,10,13,3,10,1,5,2,0,0,45,39,0
291,31,4,127595,12,9,1,10,2,5,1,0,0,40,39,0
292,29,2,220419,10,13,5,11,2,5,2,0,0,56,39,0
293,21,4,231931,16,10,5,12,4,5,2,0,0,45,39,0
294,27,4,248402,10,13,5,13,5,3,1,0,0,40,39,0
295,65,4,111095,12,9,3,14,1,5,2,0,0,16,39,0
296,37,5,57424,10,13,1,12,2,5,1,0,0,60,39,0
297,39,0,157443,13,14,3,0,6,2,1,3464,0,40,0,0
298,24,4,278130,12,9,5,3,4,5,2,0,0,40,39,0
299,38,4,169469,12,9,1,12,2,5,2,0,0,80,39,0
300,48,4,146268,10,13,3,1,1,5,2,7688,0,40,39,1
301,21,4,153718,16,10,5,8,2,2,1,0,0,25,39,0
302,31,4,217460,12,9,3,14,1,5,2,0,0,45,39,1
303,55,4,238638,12,9,3,12,1,5,2,4386,0,40,39,1
304,24,4,303296,16,10,3,1,6,2,1,0,0,40,25,0
305,43,4,173321,12,9,1,1,2,5,1,0,0,40,39,0
306,26,4,193945,8,12,5,13,2,5,2,0,0,45,39,0
307,46,4,83082,8,12,5,10,2,5,1,0,0,33,39,0
308,35,4,193815,8,12,3,1,1,5,2,0,0,40,39,1
309,41,5,34987,16,10,3,5,1,5,2,0,0,54,39,1
310,26,4,59306,10,13,5,12,2,5,2,0,0,40,39,0
311,34,4,142897,13,14,3,4,1,2,2,7298,0,35,36,1
312,19,0,860348,16,10,5,0,4,3,1,0,0,25,39,0
313,36,6,205607,10,13,1,10,2,3,1,0,0,40,39,1
314,22,4,199698,16,10,5,12,4,5,2,0,0,15,39,0
315,24,4,191954,16,10,5,7,2,5,2,0,0,40,39,0
316,77,6,138714,16,10,3,12,1,5,2,0,0,40,39,0
317,22,4,399087,5,3,3,7,3,5,1,0,0,40,26,0
318,29,4,423158,16,10,5,13,2,5,1,0,0,40,39,0
319,62,4,159841,12,9,7,8,2,5,1,0,0,24,39,0
320,39,6,174308,12,9,3,4,1,5,2,0,0,40,39,0
321,43,4,50356,16,10,3,3,1,5,2,0,1485,50,39,0
322,35,4,186110,12,9,1,14,2,5,2,0,0,45,39,0
323,29,4,200381,2,7,5,4,2,5,1,0,0,40,39,0
324,76,6,174309,13,14,3,3,1,5,2,0,0,10,39,0
325,63,6,78383,12,9,3,5,1,5,2,0,0,45,39,0
326,23,0,211601,9,11,5,0,4,3,1,0,0,15,39,0
327,43,4,187728,16,10,3,10,6,5,1,0,1887,50,39,1
328,58,6,321171,12,9,3,6,1,5,2,0,0,40,39,0
329,66,4,127921,12,9,5,14,2,5,2,2050,0,55,39,0
330,41,4,206565,16,10,5,3,2,3,2,0,0,45,39,0
331,26,4,224563,10,13,5,1,2,5,2,0,0,40,39,0
332,47,4,178686,9,11,5,8,2,5,2,0,0,40,39,0
333,55,2,98545,1,6,3,1,1,5,2,0,0,40,39,0
334,53,4,242606,12,9,3,14,1,5,2,0,0,40,39,0
335,17,4,270942,5,3,5,8,3,5,2,0,0,48,26,0
336,30,4,94235,12,9,5,3,3,5,2,0,0,40,39,0
337,49,4,71195,13,14,5,10,2,5,2,0,0,60,39,0
338,19,4,104112,12,9,5,12,5,3,2,0,0,30,14,0
339,45,4,261192,12,9,3,8,1,3,2,0,0,40,39,0
340,26,4,94936,8,12,5,12,2,5,2,0,0,40,39,0
341,38,4,296478,9,11,3,3,1,5,2,7298,0,40,39,1
342,36,7,119272,12,9,3,11,1,5,2,7298,0,40,39,1
343,33,4,85043,12,9,5,5,2,5,2,0,0,20,39,0
344,22,7,293364,16,10,5,11,4,3,1,0,0,40,39,0
345,43,6,241895,10,13,5,12,2,5,2,0,0,42,39,0
346,67,0,36135,2,7,3,0,1,5,2,0,0,8,39,0
347,30,0,151989,9,11,1,0,5,5,1,0,0,40,39,0
348,56,4,101128,8,12,4,8,2,5,2,0,0,25,20,0
349,31,4,156464,10,13,5,10,4,5,2,0,0,25,39,0
350,33,4,117963,10,13,3,4,1,5,2,0,0,40,39,1
351,26,4,192262,12,9,3,8,1,5,2,0,0,40,39,0
352,33,4,111363,10,13,3,4,1,5,2,0,0,40,39,1
353,46,2,329752,2,7,3,14,1,5,2,0,0,30,39,0
354,59,0,372020,10,13,3,0,1,5,2,0,0,40,39,1
355,38,1,95432,12,9,3,1,1,5,2,0,0,40,39,1
356,65,4,161400,2,7,7,8,5,4,2,0,0,40,39,0
357,40,4,96129,9,11,3,13,1,5,2,0,0,40,39,1
358,42,4,111949,12,9,3,1,6,5,1,0,0,35,39,0
359,26,6,117125,7,5,3,3,1,5,2,0,0,40,32,0
360,36,4,348022,1,6,3,8,6,5,1,0,0,24,39,0
361,62,4,270092,13,14,3,10,1,5,2,0,0,40,39,1
362,43,4,180609,10,13,3,14,1,5,2,0,0,45,39,0
363,43,4,174575,10,13,1,4,2,5,2,0,1564,45,39,1
364,22,4,410439,12,9,4,12,2,5,2,0,0,55,39,0
365,28,4,92262,12,9,3,3,1,5,2,0,0,40,39,0
366,56,6,183081,16,10,3,12,1,5,2,0,0,45,39,0
367,22,4,362589,8,12,5,12,2,5,1,0,0,15,39,0
368,57,4,212448,10,13,1,4,2,5,1,0,0,45,39,1
369,39,4,481060,12,9,1,12,5,5,1,0,0,40,39,0
370,26,1,185885,16,10,5,1,5,5,1,0,0,15,39,0
371,17,4,89821,2,7,5,8,4,5,2,0,0,10,39,0
372,40,7,184018,9,11,3,7,1,5,2,0,0,38,39,1
373,45,4,256649,12,9,3,7,1,3,2,0,0,40,39,0
374,44,4,160323,12,9,5,3,2,3,2,0,0,40,39,0
375,20,2,350845,16,10,5,1,4,5,1,0,0,10,39,0
376,33,4,267404,12,9,3,3,6,5,1,0,0,40,39,0
377,23,4,35633,16,10,5,12,2,5,2,0,0,40,39,0
378,46,6,80914,13,14,1,4,2,5,2,0,0,30,39,0
379,38,4,172927,12,9,3,12,1,5,2,0,0,50,39,0
380,54,4,174319,12,9,1,14,2,5,2,0,0,40,39,0
381,46,4,214955,5,3,1,3,2,5,1,0,2339,45,39,0
382,25,4,344991,16,10,3,3,1,5,2,0,0,40,39,0
383,46,4,108699,16,10,1,12,2,5,1,0,0,40,39,0
384,36,2,117312,16,10,3,14,6,5,1,0,0,40,39,0
385,23,4,396099,12,9,5,8,2,5,1,0,0,25,39,0
386,29,4,134152,12,9,6,7,2,5,2,0,0,40,39,0
387,44,4,162028,16,10,3,1,6,5,1,0,2415,6,39,1
388,19,4,25429,16,10,5,1,4,5,1,0,0,16,39,0
389,19,4,232392,12,9,5,8,3,5,1,0,0,40,39,0
390,35,4,220098,12,9,3,8,6,5,1,0,0,40,39,1
391,27,4,301302,10,13,5,3,2,5,2,0,0,50,39,0
392,46,6,277946,8,12,6,3,2,5,2,0,0,40,39,0
393,34,7,98101,10,13,3,4,1,5,2,7688,0,45,0,1
394,34,4,196164,12,9,5,8,2,5,1,0,0,35,39,0
395,44,4,115562,16,10,3,13,1,5,2,0,0,40,39,0
396,45,4,96975,16,10,1,6,5,5,1,0,0,40,39,0
397,20,0,137300,12,9,5,0,3,5,1,0,0,35,39,0
398,25,4,86872,10,13,3,4,1,5,2,0,0,55,39,1
399,52,5,132178,10,13,3,4,1,5,2,0,0,50,39,1
400,20,4,416103,16,10,5,6,4,5,2,0,0,40,39,0
401,28,4,108574,16,10,5,8,2,5,1,0,0,40,39,0
402,50,7,288353,10,13,3,11,1,5,2,0,0,40,39,1
403,34,4,227689,9,11,1,13,2,5,1,0,0,64,39,0
404,28,4,166481,6,4,3,6,1,4,2,0,2179,40,33,0
405,41,4,445382,13,14,3,4,1,5,2,0,1977,65,39,1
406,28,4,110145,12,9,3,1,1,5,2,0,0,40,39,0
407,46,6,317253,12,9,3,3,1,5,2,0,0,25,39,0
408,28,0,123147,16,10,3,0,6,5,1,0,1887,40,39,1
409,32,4,364657,16,10,3,4,1,5,2,0,0,50,39,0
410,41,2,42346,16,10,1,8,2,3,1,0,0,24,39,0
411,24,4,241951,12,9,5,6,5,3,1,0,0,40,39,0
412,33,4,118500,16,10,1,4,5,5,1,0,0,40,39,0
413,46,4,188386,11,16,3,4,1,5,2,15024,0,60,39,1
414,31,7,1033222,16,10,3,7,1,5,2,0,0,40,39,0
415,35,4,92440,3,8,1,3,2,5,2,0,0,50,39,1
416,52,4,190762,4,2,3,7,1,5,2,0,0,40,26,0
417,30,4,426017,2,7,5,8,4,5,1,0,0,19,39,0
